Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,FeatureTID,FeaturePNGURL
22,9140,,,,,,,RewardSetML1,,,,,36,144,30,30,1,1,1,1,,,,,,,,,,,,,1,1,2,2,1,2,,2,1,,,,1,6,20,3,5,8,52,48,11,17,1680,34,6,8,115,170,3,3,720,1080,240,1000,5,3,TID_FEATURE_EXPANSIONS,http://game-assets.haydaygame.com/static/unlock_images/unlock_expansions_610x252.png
23,10830,,,,,,,RewardSetML3,,,,,39,156,30,30,1,1,1,1,,,,,,,,,,,,,1,1,3,2,1,2,,2,1,,,,1,6,20,3,5,8,51,50,11,17,1794,35,6,8,120,170,3,3,720,1080,240,1000,5,3,TID_EDITMODE_TITLE,http://game-assets.haydaygame.com/static/unlock_images/unlock_editmode_610x252.png
24,12200,,,,,,,RewardSetML5,,,,,39,156,30,30,1,1,1,1,,,,,,,,,,,,,1,1,3,2,1,2,,2,1,5,,,1,6,20,3,5,8,50,51,11,18,1915,36,6,8,120,170,3,3,720,1080,240,1000,6,3,TID_FEATURE_MINE,http://game-assets.haydaygame.com/static/unlock_images/unlock_mine_610x252-1.png
25,14000,Chili,3,,,,,RewardSetML4,RewardSetML5,,,,42,168,30,30,1,1,1,1,,,,,,,,,,,,,1,1,3,2,1,2,,2,1,5,,,1,6,20,3,5,8,50,52,12,18,2042,38,6,9,120,175,3,3,720,1080,240,1000,8,3,TID_FEATURE_VALLEY,http://game-assets.haydaygame.com/static/unlock_images/unlock_valley_610x252.png
26,15700,,,,,,,RewardSetML1,RewardSetML2,,,,42,168,30,30,1,1,1,1,,,,,,,,,,,,,1,1,3,2,2,2,,2,1,5,,,1,6,30,3,5,8,50,53,12,19,2176,39,6,9,125,175,3,3,720,1080,240,1000,8,3,,
27,18300,,,,,,,RewardSetML3,RewardSetML1,,,,45,180,30,30,1,1,1,1,1,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,50,55,12,19,2316,40,6,9,125,180,3,3,720,1080,240,1000,8,3,TID_FEATURE_FISHING,http://game-assets.haydaygame.com/static/unlock_images/unlock_fishing_610x252-1.png
28,20500,,,,,,,RewardSetML1,RewardSetML5,,,,45,180,30,30,1,1,2,2,1,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,50,55,12,19,2464,41,6,10,130,180,3,3,720,1080,240,1000,10,3,,
29,23400,,,,,,,RewardSetML3,RewardSetML4,,,,48,192,30,30,2,2,2,2,1,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,50,56,12,20,2617,43,6,10,130,185,3,3,720,1080,240,1000,10,3,,
30,26100,,,Tomato,3,,,RewardSetML3,RewardSetML2,,,,48,192,30,30,2,2,2,2,1,1,,,,,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,50,58,13,21,2778,44,6,10,135,190,3,3,720,1080,240,1000,10,3,TID_FEATURE_FISHING_NETS,http://game-assets.haydaygame.com/static/unlock_images/unlock_netmaker_610x252.png
31,29400,,,,,,,RewardSetML5,RewardSetML1,,,,51,204,30,30,2,2,2,2,1,1,,,1,1,,,,,,,1,1,3,3,2,2,,2,1,5,,,1,6,30,3,5,8,50,58,13,21,2946,45,6,10,140,190,3,3,720,1080,240,1000,10,3,TID_FEATURE_BUILDER,http://game-assets.haydaygame.com/static/unlock_images/unlock_builder_610x252.png
32,32400,,,,,,,RewardSetML1,RewardSetML3,,,,51,204,30,30,2,2,2,2,1,1,,,1,1,,,,,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,50,59,13,22,3120,47,6,11,140,195,3,3,720,1080,240,1000,10,3,,
33,35800,,,,,,,RewardSetML4,RewardSetML2,,,,54,216,30,30,2,2,2,2,1,1,,,1,1,,,,,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,50,59,14,23,3302,48,6,11,145,200,3,3,720,1080,240,1000,10,3,TID_FEATURE_HELPERS,http://game-assets.haydaygame.com/static/unlock_images/unlock_helpers_610x252.png
34,38700,Pickaxe,1,,,Strawberry,3,RewardSetML6,RewardSetML1,,,,54,216,30,30,2,2,2,2,1,1,,,1,1,,,,,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,50,59,14,24,3491,49,6,11,150,200,3,3,720,1080,240,1000,10,3,TID_FEATURE_TRAIN,http://game-assets.haydaygame.com/static/unlock_images/unlock_town_610x252.png
35,42200,Potato,3,,,,,RewardSetML7,RewardSetML5,,,,57,228,30,30,2,2,2,2,1,1,,,1,1,,,1,1,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,50,60,15,24,3686,51,6,11,150,205,3,3,720,1080,240,1000,10,3,TID_FEATURE_BOOSTERS,http://game-assets.haydaygame.com/static/unlock_images/unlock_boosters_610x252.png
36,45200,,,,,,,RewardSetML2,RewardSetML3,,,,57,228,30,30,2,2,2,2,1,1,,,1,1,,,1,1,,,1,1,3,3,2,3,1,2,1,5,,,1,6,30,3,5,9,50,61,15,25,3889,52,6,12,155,210,3,3,720,1080,240,1000,10,3,,
37,48900,FreeDiamonds,1,,,,,RewardSetML1,RewardSetML4,,,,60,240,30,30,2,2,2,2,2,2,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,,,1,6,30,3,5,9,50,61,16,26,4100,53,6,12,160,215,3,3,720,1080,240,1000,10,3,,
38,54900,FreeDiamonds,1,,,,,RewardSetML6,RewardSetML7,,,,60,240,30,30,2,2,2,2,2,2,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,,,1,6,30,3,5,9,50,62,16,28,4317,54,6,12,165,220,3,3,720,1080,240,1000,10,3,,
39,61800,FreeDiamonds,1,,,,,RewardSetML8,RewardSetML1,,,,63,252,30,30,2,2,2,2,2,2,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,1,,1,6,30,3,5,9,50,62,17,29,4542,56,6,12,170,225,3,3,720,1080,240,1000,10,3,TID_FEATURE_BEES,http://game-assets.haydaygame.com/static/unlock_images/unlock_bees_610x252.png
40,67900,FreeDiamonds,2,,,,,RewardSetML2,RewardSetML4,RewardSetML8,,,63,252,40,40,2,2,2,2,2,3,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,1,1,1,6,30,3,5,9,50,63,17,30,4774,57,6,12,175,230,3,3,720,1080,240,1000,10,3,,
41,75000,FreeDiamonds,2,,,,,RewardSetML7,RewardSetML3,RewardSetML4,,,66,264,40,40,2,2,2,2,2,3,,,2,2,,,1,1,,,1,1,3,3,2,3,2,2,1,5,1,1,1,6,30,3,5,9,50,63,18,31,5014,58,6,12,180,235,3,3,720,1080,240,1000,10,3,,
42,81500,FreeDiamonds,2,,,,,RewardSetML1,RewardSetML2,RewardSetML7,,,66,264,40,40,2,2,2,2,2,3,,,2,2,,,1,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,64,19,33,5261,60,6,12,185,240,3,3,720,1080,240,1000,10,3,,
43,94400,FreeDiamonds,2,,,,,RewardSetML8,RewardSetML5,RewardSetML6,,,69,276,40,40,2,2,2,2,2,3,1,1,2,2,,,1,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,64,20,35,5515,61,6,12,190,245,3,3,720,1080,240,1000,10,3,,
44,100800,FreeDiamonds,2,,,,,RewardSetML9,RewardSetML4,RewardSetML6,,,69,276,40,40,2,2,2,2,2,3,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,65,20,36,5777,62,6,12,195,250,3,3,720,1080,240,1000,10,3,TID_FEATURE_LOBSTER_FISHING,http://game-assets.haydaygame.com/static/unlock_images/unlock_lobsterpool_610x252.png
45,110900,FreeDiamonds,2,,,,,RewardSetML6,RewardSetML5,RewardSetML2,,,72,288,40,40,2,2,2,2,2,3,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,65,21,38,6047,64,6,12,200,255,3,3,720,1080,240,1000,10,3,,
46,119500,FreeDiamonds,2,,,,,RewardSetML4,RewardSetML3,RewardSetML6,,,72,288,40,40,2,2,2,2,2,3,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,66,22,40,6325,65,6,12,205,260,3,3,720,1080,240,1000,10,3,,
47,129500,FreeDiamonds,2,,,,,RewardSetML8,RewardSetML7,RewardSetML6,,,75,300,40,40,2,2,2,2,2,4,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,66,23,42,6610,66,6,12,210,270,3,3,720,1080,240,1000,10,3,,
48,138000,FreeDiamonds,2,,,,,RewardSetML8,RewardSetML6,RewardSetML1,,,75,300,40,40,2,2,2,2,2,4,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,67,24,44,6903,67,6,12,215,275,3,3,720,1080,240,1000,10,3,,
49,148400,FreeDiamonds,2,Asparagus,3,,,RewardSetML2,RewardSetML9,RewardSetML3,,,78,312,40,40,2,2,2,2,2,4,1,1,2,2,1,1,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,50,67,25,46,7204,69,6,12,220,280,3,3,720,1080,240,1000,10,3,,
50,157000,FreeDiamonds,5,Sesame,3,,,RewardSetML7,RewardSetML3,RewardSetML4,,,78,312,50,50,2,2,2,2,2,4,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,68,26,48,7512,70,6,12,230,285,3,3,720,1080,240,1000,10,3,TID_FEATURE_DUCKS,http://game-assets.haydaygame.com/static/unlock_images/unlock_ducks_610x252.png
51,168000,FreeDiamonds,5,,,,,RewardSetML1,RewardSetML7,RewardSetML9,,,80,320,50,50,2,2,2,2,2,4,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,68,28,51,7829,71,6,12,235,295,3,3,720,1080,240,1000,10,3,,
52,179000,FreeDiamonds,5,Pineapple,3,,,RewardSetML3,RewardSetML8,RewardSetML6,,,80,320,50,50,2,2,2,2,2,4,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,68,29,53,8153,72,6,12,240,300,3,3,720,1080,240,1000,10,3,,
53,190000,FreeDiamonds,5,Lily,3,,,RewardSetML9,RewardSetML8,RewardSetML4,,,82,328,50,50,2,2,2,2,2,4,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,69,30,56,8485,73,6,12,250,310,3,3,720,1080,240,1000,10,3,,
54,201000,FreeDiamonds,5,,,,,RewardSetML9,RewardSetML1,RewardSetML5,,,82,328,50,50,2,2,2,2,2,4,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,69,31,59,8825,74,6,12,255,315,3,3,720,1080,240,1000,10,3,,
55,212000,FreeDiamonds,5,,,,,RewardSetML4,RewardSetML2,RewardSetML7,,,84,336,50,50,2,2,2,2,2,4,2,2,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,69,33,62,9174,75,6,12,260,320,3,3,720,1080,240,1000,10,3,,
56,223000,FreeDiamonds,5,Rice,3,,,RewardSetML8,RewardSetML6,RewardSetML3,,,84,336,50,50,2,2,2,2,2,4,2,2,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,70,34,65,9530,76,6,12,270,330,3,3,720,1080,240,1000,10,3,,
57,234000,FreeDiamonds,5,,,,,RewardSetML1,RewardSetML5,RewardSetML2,,,86,344,50,50,2,2,2,2,2,4,2,2,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,70,36,68,9895,77,6,12,275,335,3,3,720,1080,240,1000,10,3,,
58,245000,FreeDiamonds,5,Lettuce,3,,,RewardSetML7,RewardSetML8,RewardSetML9,,,86,344,50,50,2,2,2,2,2,4,2,2,2,2,2,2,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,70,37,71,10267,78,6,12,285,345,3,3,720,1080,240,1000,10,3,,
59,256000,FreeDiamonds,5,,,,,RewardSetML7,RewardSetML4,RewardSetML5,,,88,352,50,50,2,2,2,2,2,4,2,2,2,2,2,2,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,70,39,74,10648,79,6,12,290,355,3,3,720,1080,240,1000,10,3,,
60,267000,FreeDiamonds,8,Garlic,3,,,RewardSetML9,RewardSetML8,RewardSetML6,RewardSetML11,,88,352,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,70,41,78,11037,80,6,12,295,360,3,3,720,1080,240,1000,10,3,,
61,278000,FreeDiamonds,8,,,,,RewardSetML10,RewardSetML6,RewardSetML5,RewardSetML8,,90,360,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,70,42,81,11434,81,6,12,305,370,3,3,720,1080,240,1000,10,3,,
62,289000,FreeDiamonds,8,,,,,RewardSetML3,RewardSetML2,RewardSetML5,RewardSetML4,,90,360,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,71,44,85,11840,82,6,12,310,375,3,3,720,1080,240,1000,10,3,TID_SQUIRREL_TREE,http://game-assets.haydaygame.com/static/unlock_images/unlock_squirrels_610x252.png
63,300000,FreeDiamonds,8,Sunflower,3,,,RewardSetML9,RewardSetML8,RewardSetML6,RewardSetML11,,92,368,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,71,46,88,12254,83,6,12,320,385,3,3,720,1080,240,1000,10,3,,
64,311000,FreeDiamonds,8,,,,,RewardSetML10,RewardSetML8,RewardSetML3,RewardSetML2,,92,368,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,71,48,92,12676,84,6,12,330,395,3,3,720,1080,240,1000,10,3,,
65,322000,FreeDiamonds,8,Cabbage,3,,,RewardSetML8,RewardSetML5,RewardSetML10,RewardSetML7,,94,376,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,72,50,96,13107,85,6,12,335,400,3,3,720,1080,240,1000,10,3,,
66,333000,FreeDiamonds,8,,,,,RewardSetML6,RewardSetML3,RewardSetML9,RewardSetML10,,94,376,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,72,52,100,13546,86,6,12,345,410,3,3,720,1080,240,1000,10,3,,
67,344000,FreeDiamonds,8,,,,,RewardSetML10,RewardSetML8,RewardSetML10,RewardSetML7,,96,384,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,72,54,104,13994,87,6,12,350,420,3,3,720,1080,240,1000,10,3,,
68,355000,FreeDiamonds,8,Onion,3,,,RewardSetML7,RewardSetML12,RewardSetML4,RewardSetML9,,96,384,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,73,56,108,14450,88,6,12,360,425,3,3,720,1080,240,1000,10,3,,
69,366000,FreeDiamonds,8,,,,,RewardSetML9,RewardSetML3,RewardSetML8,RewardSetML5,,98,392,60,60,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,73,58,112,14914,89,6,12,365,435,3,3,720,1080,240,1000,10,3,,
70,377000,FreeDiamonds,10,Cucumber,3,,,RewardSetML4,RewardSetML10,RewardSetML11,RewardSetML6,,98,392,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,73,60,117,15387,90,6,12,375,445,3,3,720,1080,240,1000,10,3,,
71,388000,FreeDiamonds,10,,,,,RewardSetML10,RewardSetML7,RewardSetML3,RewardSetML4,,100,400,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,74,62,121,15869,91,6,12,385,450,3,3,720,1080,240,1000,10,3,,
72,399000,FreeDiamonds,10,Beetroot,3,,,RewardSetML2,RewardSetML8,RewardSetML12,RewardSetML10,,100,400,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,74,64,126,16360,92,6,12,390,460,3,3,720,1080,240,1000,10,3,,
73,410000,FreeDiamonds,10,,,,,RewardSetML10,RewardSetML2,RewardSetML4,RewardSetML5,,102,408,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,74,66,130,16859,93,6,12,400,470,3,3,720,1080,240,1000,10,3,,
74,421000,FreeDiamonds,10,Bellpepper,3,,,RewardSetML9,RewardSetML7,RewardSetML10,RewardSetML8,,102,408,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,75,68,135,17366,94,6,12,405,475,3,3,720,1080,240,1000,10,3,,
75,432000,FreeDiamonds,10,,,,,RewardSetML5,RewardSetML3,RewardSetML10,RewardSetML7,,104,416,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,50,75,71,139,17883,95,6,12,415,485,3,3,720,1080,240,1000,10,3,,
